 Month     Pri_flux       Post_flux
  1     0.089     2.205
  2     0.077     2.115
  3     0.080     2.263
  4     0.060     2.340
  5    -0.100     2.496
  6    -0.361     2.537
  7    -0.430     2.548
  8    -0.265     2.506
  9    -0.015     2.394
 10     0.133     2.398
 11     0.152     2.265
 12     0.152     2.260
