 Month     Pri_flux       Post_flux
  1    -0.115     8.150
  2    -0.046     8.219
  3    -0.052     8.213
  4    -0.040     3.819
  5    -0.047     1.502
  6    -0.056     3.660
  7    -0.018     7.108
  8     0.024     8.290
  9     0.093     7.767
 10     0.102     5.664
 11     0.095     3.291
 12     0.023     3.748
