 Month     Pri_flux       Post_flux
  1     0.043     0.366
  2     0.040     0.350
  3     0.039     0.372
  4     0.016     0.364
  5    -0.042     0.354
  6    -0.081     0.361
  7    -0.076     0.379
  8    -0.041     0.382
  9    -0.010     0.358
 10     0.018     0.363
 11     0.039     0.361
 12     0.045     0.367
