 Month     Pri_flux       Post_flux
  1    -0.062     4.300
  2    -0.040     3.338
  3    -0.037     2.963
  4    -0.005     1.231
  5     0.047     1.959
  6     0.013     3.045
  7     0.016     3.208
  8     0.009     3.253
  9    -0.007     2.962
 10    -0.016     2.399
 11    -0.026     1.699
 12    -0.031     2.853
