 Month     Pri_flux       Post_flux
  1     0.028     0.265
  2     0.025     0.253
  3     0.024     0.269
  4     0.011     0.267
  5    -0.020     0.271
  6    -0.075     0.250
  7    -0.103     0.231
  8    -0.065     0.245
  9    -0.010     0.260
 10     0.026     0.280
 11     0.039     0.276
 12     0.042     0.278
