 Month     Pri_flux       Post_flux
  1     0.009     0.064
  2     0.008     0.061
  3     0.009     0.066
  4     0.007     0.066
  5    -0.012     0.055
  6    -0.046     0.029
  7    -0.056     0.022
  8    -0.026     0.045
  9     0.001     0.063
 10     0.014     0.073
 11     0.019     0.074
 12     0.020     0.074
