 Month     Pri_flux       Post_flux
  1     0.027     0.183
  2     0.024     0.174
  3     0.026     0.187
  4     0.023     0.191
  5    -0.008     0.183
  6    -0.059     0.154
  7    -0.091     0.128
  8    -0.067     0.137
  9    -0.028     0.149
 10     0.029     0.195
 11     0.038     0.193
 12     0.039     0.194
