 Month     Pri_flux       Post_flux
  1    -0.005     0.062
  2    -0.002     0.056
  3    -0.004     0.044
  4    -0.012     0.008
  5    -0.001     0.031
  6    -0.005     0.030
  7    -0.006     0.047
  8    -0.005     0.044
  9    -0.005     0.040
 10    -0.006     0.036
 11    -0.006     0.037
 12    -0.004     0.077
