 Month     Pri_flux       Post_flux
  1     0.038     1.103
  2     0.035     1.060
  3     0.031     1.129
  4     0.017     1.164
  5    -0.032     1.273
  6    -0.100     1.358
  7    -0.132     1.366
  8    -0.114     1.280
  9    -0.046     1.165
 10     0.029     1.168
 11     0.070     1.133
 12     0.078     1.138
