 Month     Pri_flux       Post_flux
  1     0.009     0.056
  2     0.012     0.057
  3     0.005     0.053
  4    -0.011     0.039
  5    -0.016     0.041
  6    -0.005     0.059
  7    -0.011     0.054
  8    -0.017     0.044
  9    -0.015     0.038
 10    -0.007     0.043
 11     0.008     0.054
 12     0.011     0.058
