 Month     Pri_flux       Post_flux
  1    -0.022     0.629
  2    -0.022     0.656
  3    -0.025     0.850
  4    -0.016     0.929
  5    -0.016     0.808
  6    -0.011     0.640
  7     0.008     0.763
  8    -0.013     0.629
  9    -0.022     0.463
 10    -0.013     0.579
 11    -0.012     1.142
 12    -0.016     1.075
