 Month     Pri_flux       Post_flux
  1     0.145     8.410
  2     0.191     8.456
  3     0.175     8.440
  4     0.104     7.974
  5     0.016     5.399
  6    -0.101     7.493
  7    -0.147     8.118
  8    -0.154     8.111
  9    -0.190     8.075
 10    -0.158     6.965
 11    -0.062     7.062
 12    -0.022     8.243
