 Month     Pri_flux       Post_flux
  1     0.014     0.060
  2     0.013     0.058
  3     0.013     0.061
  4     0.010     0.060
  5    -0.003     0.054
  6    -0.031     0.033
  7    -0.043     0.023
  8    -0.024     0.037
  9     0.000     0.053
 10     0.013     0.063
 11     0.017     0.064
 12     0.018     0.065
