 Month     Pri_flux       Post_flux
  1    -0.044     1.518
  2    -0.003     1.633
  3    -0.000     2.032
  4    -0.041     1.737
  5    -0.068     1.896
  6    -0.050     1.242
  7    -0.008     2.119
  8    -0.006     2.022
  9    -0.013     1.700
 10     0.000     1.817
 11    -0.038     1.444
 12    -0.068     1.075
