 Month     Pri_flux       Post_flux
  1    -0.008     0.147
  2     0.005     0.173
  3     0.014     0.321
  4     0.020     0.329
  5     0.021     0.341
  6     0.017     0.339
  7     0.002     0.506
  8    -0.018     1.258
  9    -0.034     0.811
 10    -0.026     0.853
 11    -0.015     0.326
 12    -0.014     0.268
