 Month     Pri_flux       Post_flux
  1     0.016     0.131
  2     0.015     0.126
  3     0.011     0.130
  4     0.001     0.126
  5    -0.015     0.127
  6    -0.024     0.134
  7    -0.024     0.139
  8    -0.015     0.136
  9    -0.005     0.127
 10     0.006     0.129
 11     0.018     0.133
 12     0.021     0.136
