 Month     Pri_flux       Post_flux
  1     0.018     0.263
  2     0.016     0.158
  3     0.002     0.129
  4    -0.014     0.052
  5    -0.024     0.179
  6    -0.019     0.273
  7    -0.027     0.182
  8    -0.024     0.225
  9    -0.015     0.099
 10    -0.015     0.157
 11    -0.002     0.270
 12     0.014     0.302
