 Month     Pri_flux       Post_flux
  1    -0.017     0.908
  2     0.005     0.804
  3     0.005     0.689
  4    -0.008     0.693
  5    -0.004     0.866
  6    -0.006     0.939
  7    -0.023     0.537
  8    -0.034     0.332
  9    -0.026     0.590
 10    -0.007     0.532
 11    -0.003     0.510
 12     0.001     0.802
