 Month     Pri_flux       Post_flux
  1     0.069     1.182
  2     0.061     1.133
  3     0.065     1.212
  4     0.041     1.239
  5    -0.116     1.248
  6    -0.253     1.270
  7    -0.246     1.320
  8    -0.144     1.313
  9    -0.024     1.242
 10     0.065     1.256
 11     0.092     1.202
 12     0.096     1.204
