 Month     Pri_flux       Post_flux
  1    -0.061     4.636
  2    -0.065     6.017
  3    -0.074     6.401
  4    -0.038     3.974
  5    -0.093     1.935
  6    -0.078     2.858
  7    -0.034     4.398
  8     0.020     6.112
  9     0.060     6.316
 10     0.077     6.809
 11     0.093     6.284
 12     0.118     4.756
