 Month     Pri_flux       Post_flux
  1    -0.086     2.358
  2    -0.034     1.863
  3    -0.063     1.633
  4    -0.072     1.185
  5    -0.070     0.605
  6    -0.034     0.862
  7    -0.010     1.732
  8     0.048     2.215
  9     0.067     1.886
 10     0.087     1.503
 11     0.070     1.545
 12     0.029     1.568
