 Month     Pri_flux       Post_flux
  1     0.023     0.151
  2     0.020     0.142
  3     0.015     0.146
  4     0.001     0.138
  5    -0.020     0.136
  6    -0.033     0.141
  7    -0.030     0.149
  8    -0.023     0.144
  9    -0.013     0.132
 10     0.003     0.139
 11     0.016     0.143
 12     0.020     0.147
