 Month     Pri_flux       Post_flux
  1     0.037     1.875
  2     0.028     2.308
  3     0.017     1.778
  4    -0.004     0.378
  5    -0.020     0.241
  6    -0.023     0.914
  7    -0.030     1.632
  8    -0.032     1.631
  9    -0.026     1.480
 10     0.001     1.306
 11     0.019     0.745
 12     0.032     0.854
