 Month     Pri_flux       Post_flux
  1     0.017     0.125
  2     0.018     0.122
  3     0.016     0.127
  4    -0.001     0.115
  5    -0.024     0.108
  6    -0.022     0.125
  7    -0.044     0.108
  8    -0.050     0.091
  9    -0.024     0.099
 10     0.003     0.118
 11     0.027     0.134
 12     0.027     0.134
