 Month     Pri_flux       Post_flux
  1     0.008     0.249
  2     0.007     0.164
  3    -0.008     0.168
  4    -0.023     0.079
  5    -0.022     0.097
  6    -0.013     0.134
  7    -0.005     0.181
  8    -0.004     0.225
  9    -0.007     0.057
 10    -0.013     0.056
 11    -0.004     0.167
 12     0.003     0.259
