 Month     Pri_flux       Post_flux
  1     0.032     0.603
  2     0.030     0.581
  3     0.032     0.622
  4     0.022     0.638
  5    -0.007     0.694
  6    -0.049     0.734
  7    -0.073     0.731
  8    -0.064     0.685
  9    -0.025     0.625
 10     0.007     0.619
 11     0.035     0.606
 12     0.039     0.608
