 Month     Pri_flux       Post_flux
  1     0.004     0.023
  2     0.003     0.021
  3     0.003     0.022
  4     0.002     0.022
  5     0.001     0.025
  6    -0.002     0.023
  7    -0.006     0.020
  8    -0.005     0.019
  9     0.001     0.022
 10     0.005     0.025
 11     0.005     0.024
 12     0.005     0.024
