 Month     Pri_flux       Post_flux
  1     0.036     0.301
  2     0.035     0.291
  3     0.035     0.308
  4     0.007     0.293
  5    -0.042     0.284
  6    -0.060     0.304
  7    -0.048     0.325
  8    -0.030     0.317
  9    -0.014     0.288
 10     0.008     0.292
 11     0.024     0.289
 12     0.035     0.299
