 Month     Pri_flux       Post_flux
  1    -0.025     0.652
  2    -0.025     0.532
  3     0.000     0.729
  4     0.031     1.133
  5     0.037     1.026
  6     0.032     1.208
  7     0.003     1.849
  8    -0.044     2.788
  9    -0.055     1.509
 10    -0.032     0.979
 11    -0.014     0.700
 12    -0.005     0.833
