 Month     Pri_flux       Post_flux
  1     0.001     0.086
  2     0.001     0.061
  3    -0.000     0.086
  4    -0.001     0.065
  5     0.001     0.096
  6     0.002     0.092
  7     0.002     0.175
  8    -0.003     0.242
  9    -0.005     0.177
 10    -0.001     0.083
 11     0.001     0.056
 12    -0.000     0.102
