 Month     Pri_flux       Post_flux
  1     0.031     0.228
  2     0.030     0.219
  3     0.025     0.228
  4     0.004     0.216
  5    -0.046     0.196
  6    -0.079     0.191
  7    -0.086     0.192
  8    -0.052     0.206
  9    -0.007     0.217
 10     0.022     0.233
 11     0.040     0.237
 12     0.047     0.243
