 Month     Pri_flux       Post_flux
  1     0.015     0.071
  2     0.012     0.066
  3     0.012     0.070
  4     0.004     0.065
  5    -0.016     0.054
  6    -0.047     0.030
  7    -0.063     0.017
  8    -0.051     0.023
  9    -0.015     0.049
 10     0.007     0.068
 11     0.024     0.080
 12     0.028     0.084
