 Month     Pri_flux       Post_flux
  1    -0.000     0.113
  2    -0.002     0.084
  3    -0.004     0.113
  4     0.002     0.115
  5     0.006     0.118
  6     0.009     0.182
  7    -0.004     0.134
  8    -0.009     0.103
  9    -0.002     0.091
 10     0.002     0.102
 11     0.000     0.123
 12     0.003     0.146
