 Month     Pri_flux       Post_flux
  1     0.071     1.746
  2     0.069     1.683
  3     0.047     1.775
  4    -0.016     1.789
  5    -0.087     1.968
  6    -0.070     2.223
  7    -0.063     2.294
  8    -0.056     2.137
  9    -0.041     1.865
 10     0.000     1.793
 11     0.052     1.724
 12     0.063     1.732
