 Month     Pri_flux       Post_flux
  1     0.006     0.157
  2     0.005     0.099
  3     0.001     0.115
  4    -0.007     0.207
  5    -0.018     0.488
  6    -0.019     0.482
  7    -0.012     0.414
  8    -0.006     0.479
  9    -0.003     0.263
 10     0.002     0.187
 11     0.006     0.180
 12     0.008     0.199
