 Month     Pri_flux       Post_flux
  1     0.016     0.138
  2     0.016     0.134
  3     0.015     0.141
  4     0.003     0.135
  5    -0.025     0.125
  6    -0.027     0.140
  7    -0.021     0.151
  8    -0.021     0.139
  9    -0.015     0.124
 10    -0.007     0.123
 11     0.014     0.136
 12     0.018     0.140
