 Month     Pri_flux       Post_flux
  1     0.016     2.309
  2     0.002     0.982
  3     0.004     0.658
  4    -0.001     0.340
  5    -0.005     0.335
  6    -0.002     0.956
  7    -0.006     1.253
  8    -0.019     1.125
  9    -0.027     0.881
 10    -0.023     0.573
 11    -0.001     0.318
 12     0.006     1.212
