 Month     Pri_flux       Post_flux
  1     0.005     0.082
  2     0.004     0.078
  3     0.004     0.083
  4     0.001     0.084
  5    -0.014     0.081
  6    -0.028     0.078
  7    -0.019     0.090
  8    -0.006     0.095
  9     0.002     0.090
 10     0.006     0.088
 11     0.007     0.084
 12     0.008     0.085
