 Month     Pri_flux       Post_flux
  1    -0.025     0.113
  2    -0.017     0.116
  3    -0.010     0.132
  4     0.003     0.151
  5     0.013     0.182
  6     0.015     0.204
  7     0.014     0.208
  8     0.011     0.191
  9     0.006     0.163
 10    -0.001     0.147
 11    -0.011     0.127
 12    -0.017     0.120
