 Month     Pri_flux       Post_flux
  1    -0.000     0.009
  2    -0.000     0.008
  3    -0.000     0.009
  4    -0.001     0.008
  5    -0.002     0.009
  6    -0.003     0.010
  7    -0.002     0.010
  8    -0.001     0.010
  9    -0.000     0.010
 10     0.000     0.010
 11     0.001     0.010
 12     0.001     0.010
