 Month     Pri_flux       Post_flux
  1     0.007     0.263
  2     0.004     0.251
  3    -0.001     0.264
  4    -0.002     0.275
  5    -0.010     0.305
  6    -0.019     0.332
  7    -0.034     0.327
  8    -0.028     0.308
  9    -0.015     0.276
 10     0.007     0.281
 11     0.021     0.276
 12     0.029     0.284
