 Month     Pri_flux       Post_flux
  1     0.029     0.749
  2     0.034     0.727
  3     0.025     0.767
  4    -0.002     0.773
  5    -0.033     0.850
  6    -0.048     0.938
  7    -0.039     0.974
  8    -0.025     0.918
  9    -0.012     0.807
 10     0.013     0.784
 11     0.025     0.743
 12     0.035     0.752
