 Month     Pri_flux       Post_flux
  1    -0.012     1.467
  2    -0.001     1.565
  3    -0.000     0.860
  4     0.005     0.259
  5    -0.007     0.397
  6    -0.001     0.555
  7     0.001     0.593
  8     0.002     0.668
  9     0.007     0.770
 10     0.014     0.613
 11     0.015     0.318
 12     0.027     0.862
