 Month     Pri_flux       Post_flux
  1     0.052     1.171
  2     0.045     1.123
  3     0.046     1.200
  4     0.037     1.242
  5    -0.031     1.342
  6    -0.219     1.314
  7    -0.315     1.259
  8    -0.215     1.250
  9    -0.022     1.251
 10     0.100     1.297
 11     0.108     1.224
 12     0.106     1.221
