 Month     Pri_flux       Post_flux
  1     0.008     0.124
  2     0.008     0.119
  3     0.003     0.123
  4    -0.011     0.113
  5    -0.021     0.120
  6    -0.022     0.137
  7    -0.017     0.146
  8    -0.011     0.141
  9    -0.001     0.130
 10     0.001     0.125
 11     0.006     0.121
 12     0.008     0.123
