 Month     Pri_flux       Post_flux
  1     0.071     1.125
  2     0.066     1.082
  3     0.071     1.158
  4     0.045     1.181
  5    -0.032     1.261
  6    -0.079     1.365
  7    -0.109     1.374
  8    -0.122     1.258
  9    -0.064     1.136
 10     0.007     1.136
 11     0.061     1.114
 12     0.078     1.128
