 Month     Pri_flux       Post_flux
  1    -0.002     0.007
  2    -0.005     0.004
  3    -0.005     0.004
  4    -0.001     0.009
  5     0.002     0.013
  6     0.002     0.015
  7     0.001     0.015
  8    -0.003     0.009
  9    -0.003     0.007
 10    -0.001     0.009
 11     0.000     0.010
 12    -0.000     0.009
