 Month     Pri_flux       Post_flux
  1     0.006     0.159
  2     0.005     0.152
  3     0.004     0.161
  4    -0.001     0.164
  5    -0.006     0.181
  6    -0.011     0.198
  7    -0.018     0.197
  8    -0.014     0.186
  9    -0.007     0.167
 10    -0.000     0.163
 11     0.009     0.161
 12     0.013     0.165
