 Month     Pri_flux       Post_flux
  1     0.013     0.301
  2     0.002     0.289
  3     0.017     0.387
  4    -0.003     0.296
  5    -0.012     0.172
  6    -0.007     0.168
  7    -0.032     0.441
  8    -0.049     0.594
  9    -0.011     0.547
 10    -0.006     0.257
 11     0.010     0.221
 12    -0.002     0.266
