 Month     Pri_flux       Post_flux
  1     0.005     0.029
  2     0.005     0.027
  3     0.005     0.029
  4     0.003     0.028
  5    -0.003     0.025
  6    -0.011     0.021
  7    -0.018     0.015
  8    -0.015     0.016
  9    -0.002     0.024
 10     0.004     0.030
 11     0.007     0.031
 12     0.008     0.032
